id,source,date,feedback_text,cleaned_text,processed_text,lemmatized_tokens,rating,sentiment_label,token_count,word_count,feedback_length
e3cfe547-a543-42d0-a30e-ca2012ecb1c8,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was a complete snoozefest.  I regretted every second.  Total waste of money.,the movie was a complete snoozefest i regretted every second total waste of money,movie complete snoozefest regretted every second total waste money,movie complete snoozefest regretted every second total waste money,1,negative,9,14,86
cb19c62e-ec2b-4892-87f1-01935ccfd242,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"Seriously, the worst venue I've ever been to.  The sound was terrible, the seats uncomfortable, and the staff rude.",seriously the worst venue ive ever been to the sound was terrible the seats uncomfortable and the staff rude,seriously worst venue ive ever sound terrible seat uncomfortable staff rude,seriously worst venue ive ever sound terrible seat uncomfortable staff rude,1,negative,11,19,115
c8deabb9-621b-4c89-8130-9ef81671cb7f,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"This event was so poorly organized, it was a joke.  I left early, feeling ripped off.",this event was so poorly organized it was a joke i left early feeling ripped off,event poorly organized joke left early feeling ripped,event poorly organized joke left early feeling ripped,1,negative,8,16,85
bf89e91c-81f8-4216-b9b4-fee042a51248,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"What a disaster of a movie!  The acting was awful, the plot was nonsensical, and the special effects were cheesy.",what a disaster of a movie the acting was awful the plot was nonsensical and the special effects were cheesy,disaster movie acting awful plot nonsensical special effect cheesy,disaster movie acting awful plot nonsensical special effect cheesy,1,negative,9,20,113
a908f5d2-88a6-42b3-b681-1a5905ef323d,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"I wouldn't recommend this venue to my worst enemy.  It was dirty, cramped, and overpriced.",i wouldnt recommend this venue to my worst enemy it was dirty cramped and overpriced,wouldnt recommend venue worst enemy dirty cramped overpriced,wouldnt recommend venue worst enemy dirty cramped overpriced,1,negative,8,15,90
364aeb37-4789-462d-adb0-bc5e2bcc3bb6,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"The event was a complete letdown.  The performers were underwhelming, and the whole thing felt rushed.",the event was a complete letdown the performers were underwhelming and the whole thing felt rushed,event complete letdown performer underwhelming whole thing felt rushed,event complete letdown performer underwhelming whole thing felt rushed,1,negative,9,16,102
9c291d53-b728-4cbd-af5b-2597a6a7255b,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This movie was boring and predictable. I could have stayed home and watched paint dry.,this movie was boring and predictable i could have stayed home and watched paint dry,movie boring predictable could stayed home watched paint dry,movie boring predictable could stayed home watched paint dry,1,negative,9,15,86
80ec2bf3-ca88-461c-bf03-03dce333b358,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The sound system at the venue was atrocious. I couldn't hear anything properly.,the sound system at the venue was atrocious i couldnt hear anything properly,sound system venue atrocious couldnt hear anything properly,sound system venue atrocious couldnt hear anything properly,1,negative,8,13,79
a77f6876-c820-4cf7-9afc-f2566cc56b2e,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The event was poorly advertised and even worse in reality.  A total waste of time.,the event was poorly advertised and even worse in reality a total waste of time,event poorly advertised even worse reality total waste time,event poorly advertised even worse reality total waste time,1,negative,9,15,82
4b5b665c-7df6-4345-bbef-97638a1fd137,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This movie had a terrible plot and unbelievable acting. I'm asking for my money back.,this movie had a terrible plot and unbelievable acting im asking for my money back,movie terrible plot unbelievable acting asking money back,movie terrible plot unbelievable acting asking money back,1,negative,8,15,85
e7bececd-4be6-49fc-bb00-f97bc58131e6,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"The venue was a dump.  Dirty, smelly, and the staff were unhelpful.",the venue was a dump dirty smelly and the staff were unhelpful,venue dump dirty smelly staff unhelpful,venue dump dirty smelly staff unhelpful,1,negative,6,12,67
c3f68451-a794-443e-9ec4-d1a507f4b034,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,Such a disappointing event. The promised entertainment was nowhere to be seen.,such a disappointing event the promised entertainment was nowhere to be seen,disappointing event promised entertainment nowhere seen,disappointing event promised entertainment nowhere seen,1,negative,6,12,78
cb8a9bf3-d18f-47c9-9468-32de092d8c8e,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,I fell asleep during this movie.  It was that bad.,i fell asleep during this movie it was that bad,fell asleep movie bad,fell asleep movie bad,1,negative,4,10,50
efae5545-f2a2-4e0b-9204-127877141c1f,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The venue was overcrowded and uncomfortable.  I couldn't even enjoy the event.,the venue was overcrowded and uncomfortable i couldnt even enjoy the event,venue overcrowded uncomfortable couldnt even enjoy event,venue overcrowded uncomfortable couldnt even enjoy event,1,negative,7,12,78
7e486bd6-bb06-4c68-9dc0-928880541667,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was a chaotic mess.  Things weren't organized and the staff were clueless.,this event was a chaotic mess things werent organized and the staff were clueless,event chaotic mess thing werent organized staff clueless,event chaotic mess thing werent organized staff clueless,1,negative,8,14,85
1c99ac8d-ef52-4a7d-bf08-fb6d4ab77d3e,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was so slow and boring.  I almost walked out.,the movie was so slow and boring i almost walked out,movie slow boring almost walked,movie slow boring almost walked,1,negative,5,11,55
0ea2c42f-710d-4206-8856-4f1eff8a64f9,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"The venue was so small and cramped, it was unbearable.  I couldn't breathe.",the venue was so small and cramped it was unbearable i couldnt breathe,venue small cramped unbearable couldnt breathe,venue small cramped unbearable couldnt breathe,1,negative,6,13,75
61f37916-7332-4938-a467-9a562ed05044,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was a complete rip-off.  I'm furious.,this event was a complete ripoff im furious,event complete ripoff furious,event complete ripoff furious,1,negative,4,8,48
7bf916eb-ed19-482b-93af-642665798ac5,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was predictable and cliché.  I've seen better.,the movie was predictable and cliché ive seen better,movie predictable cliché ive seen better,movie predictable cliché ive seen better,1,negative,6,9,56
99580eed-82ec-46e3-8dc1-faba1706087b,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The venue was poorly maintained and unclean.  I'm disgusted.,the venue was poorly maintained and unclean im disgusted,venue poorly maintained unclean disgusted,venue poorly maintained unclean disgusted,1,negative,5,9,60
2ee78e13-890a-4bb8-955d-063d016d86aa,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was disorganized and lacked any real entertainment value.,this event was disorganized and lacked any real entertainment value,event disorganized lacked real entertainment value,event disorganized lacked real entertainment value,1,negative,6,10,68
a2b8dacc-3ff5-4359-8fca-05ad2a3315cd,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was just awful.  I don't even know where to begin.,the movie was just awful i dont even know where to begin,movie awful dont even know begin,movie awful dont even know begin,1,negative,6,12,60
86c4479e-b941-46f8-8a8c-86056e068935,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The venue was noisy and distracting.  I couldn't focus on the event.,the venue was noisy and distracting i couldnt focus on the event,venue noisy distracting couldnt focus event,venue noisy distracting couldnt focus event,1,negative,6,12,68
f433181c-2193-4d46-a23e-565b4588194e,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was a complete failure.  I regret attending.,this event was a complete failure i regret attending,event complete failure regret attending,event complete failure regret attending,1,negative,5,9,55
a7d37b28-7343-47ae-bd04-16ba5fad1c41,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was confusing and poorly written.  I was lost the entire time.,the movie was confusing and poorly written i was lost the entire time,movie confusing poorly written lost entire time,movie confusing poorly written lost entire time,1,negative,7,13,72
23718661-dedd-4cf2-abd6-bdc51c552eec,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The venue was far too expensive for what it offered.  I felt cheated.,the venue was far too expensive for what it offered i felt cheated,venue far expensive offered felt cheated,venue far expensive offered felt cheated,1,negative,6,13,69
199867cd-e53f-43c2-be0e-8a55f21808e1,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was poorly executed and lacked any creativity.,this event was poorly executed and lacked any creativity,event poorly executed lacked creativity,event poorly executed lacked creativity,1,negative,5,9,57
5f3c7c68-ebd1-4cdc-a5cd-975593295e67,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was a complete waste of time and money.  Don't bother.,the movie was a complete waste of time and money dont bother,movie complete waste time money dont bother,movie complete waste time money dont bother,1,negative,7,12,64
f7ed56ec-c354-462f-9176-d1b3a878554f,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The venue was uncomfortable and lacked basic amenities.  I was miserable.,the venue was uncomfortable and lacked basic amenities i was miserable,venue uncomfortable lacked basic amenity miserable,venue uncomfortable lacked basic amenity miserable,1,negative,6,11,73
beee1c4c-7d48-407e-8054-d1e2f837c99c,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was underwhelming and disappointing.  I expected so much more.,this event was underwhelming and disappointing i expected so much more,event underwhelming disappointing expected much,event underwhelming disappointing expected much,1,negative,5,11,73
2c0af5a6-a5c7-458f-af43-05f6a8250290,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was boring and lacked any substance.  I'm so disappointed.,the movie was boring and lacked any substance im so disappointed,movie boring lacked substance disappointed,movie boring lacked substance disappointed,1,negative,5,11,68
5ab24af5-e801-40db-8791-c4e13908aeb2,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The venue was dirty and smelled awful.  I couldn't even stay for the whole event.,the venue was dirty and smelled awful i couldnt even stay for the whole event,venue dirty smelled awful couldnt even stay whole event,venue dirty smelled awful couldnt even stay whole event,1,negative,9,15,81
a0bf5ac0-4073-4a3c-bd6f-2b15ec0f2c95,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was poorly managed and lacked any sense of professionalism.,this event was poorly managed and lacked any sense of professionalism,event poorly managed lacked sense professionalism,event poorly managed lacked sense professionalism,1,negative,6,11,70
afb8e684-9966-412b-8944-364c58e05478,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was a mess.  The plot was all over the place.,the movie was a mess the plot was all over the place,movie mess plot place,movie mess plot place,1,negative,4,12,55
ad2a4801-1fe7-44d6-adea-18a89586e065,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The venue was difficult to get to and poorly signposted.  I almost missed the event.,the venue was difficult to get to and poorly signposted i almost missed the event,venue difficult get poorly signposted almost missed event,venue difficult get poorly signposted almost missed event,1,negative,8,15,84
f232954a-b356-48ce-9fc0-7a19d420260b,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was a huge letdown.  I'm so angry.,this event was a huge letdown im so angry,event huge letdown angry,event huge letdown angry,1,negative,4,9,45
fb669215-5ea9-4a36-b222-ffdd8ebe53a6,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"The movie was so predictable, it was insulting.  I'm so mad.",the movie was so predictable it was insulting im so mad,movie predictable insulting mad,movie predictable insulting mad,1,negative,4,11,60
b21814f2-90d5-4f10-95c1-6da0e1c49e40,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The venue was overpriced and understaffed.  It was chaos.,the venue was overpriced and understaffed it was chaos,venue overpriced understaffed chaos,venue overpriced understaffed chaos,1,negative,4,9,57
0bc53a38-4809-4dd6-883e-42ee0c6a1e90,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was a complete waste of my evening.  I'm so frustrated.,this event was a complete waste of my evening im so frustrated,event complete waste evening frustrated,event complete waste evening frustrated,1,negative,5,12,66
266a555e-737a-4b17-afa5-107c2c1a8db4,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was just plain bad.  I can't believe I paid to see it.,the movie was just plain bad i cant believe i paid to see it,movie plain bad cant believe paid see,movie plain bad cant believe paid see,1,negative,7,14,64
cfdf2dbc-c5cf-483d-b24b-d41ddaa7348a,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"The venue was cramped and uncomfortable, making the event unpleasant.",the venue was cramped and uncomfortable making the event unpleasant,venue cramped uncomfortable making event unpleasant,venue cramped uncomfortable making event unpleasant,1,negative,6,10,69
86da69d7-b26e-4e0e-a672-696cf68a901f,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was poorly advertised and didn't live up to the hype.,this event was poorly advertised and didnt live up to the hype,event poorly advertised didnt live hype,event poorly advertised didnt live hype,1,negative,6,12,64
d8a4ccd8-4402-4bc1-83ab-f902c3ec4326,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was a complete disappointment.  I'm so upset.,the movie was a complete disappointment im so upset,movie complete disappointment upset,movie complete disappointment upset,1,negative,4,9,55
a6a15139-7b0f-48f0-94bd-c349d04d7530,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"The venue was a fire hazard.  Seriously, it was dangerous.",the venue was a fire hazard seriously it was dangerous,venue fire hazard seriously dangerous,venue fire hazard seriously dangerous,1,negative,5,10,58
715a762e-d22f-4c56-97b3-c31a4b62f582,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was a total disaster.  I'll never go back.,this event was a total disaster ill never go back,event total disaster ill never back,event total disaster ill never back,1,negative,6,10,53
4c625240-bb94-4567-87e5-1ed4ed5a6250,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"The movie was slow, boring, and had terrible acting.",the movie was slow boring and had terrible acting,movie slow boring terrible acting,movie slow boring terrible acting,1,negative,5,9,52
3eed832f-f1ee-487d-9870-f8c0ca1f7f09,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"The venue was small, dirty, and the sound was terrible.",the venue was small dirty and the sound was terrible,venue small dirty sound terrible,venue small dirty sound terrible,1,negative,5,10,55
19eafe9c-d366-4504-a53d-ea324860aaa6,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This event was poorly organized and lacked any clear direction.,this event was poorly organized and lacked any clear direction,event poorly organized lacked clear direction,event poorly organized lacked clear direction,1,negative,6,10,63
