id,processed_text,sentiment_label,rating
e3cfe547-a543-42d0-a30e-ca2012ecb1c8,movie complete snoozefest regretted every second total waste money,negative,1
cb19c62e-ec2b-4892-87f1-01935ccfd242,seriously worst venue ive ever sound terrible seat uncomfortable staff rude,negative,1
c8deabb9-621b-4c89-8130-9ef81671cb7f,event poorly organized joke left early feeling ripped,negative,1
bf89e91c-81f8-4216-b9b4-fee042a51248,disaster movie acting awful plot nonsensical special effect cheesy,negative,1
a908f5d2-88a6-42b3-b681-1a5905ef323d,wouldnt recommend venue worst enemy dirty cramped overpriced,negative,1
364aeb37-4789-462d-adb0-bc5e2bcc3bb6,event complete letdown performer underwhelming whole thing felt rushed,negative,1
9c291d53-b728-4cbd-af5b-2597a6a7255b,movie boring predictable could stayed home watched paint dry,negative,1
80ec2bf3-ca88-461c-bf03-03dce333b358,sound system venue atrocious couldnt hear anything properly,negative,1
a77f6876-c820-4cf7-9afc-f2566cc56b2e,event poorly advertised even worse reality total waste time,negative,1
4b5b665c-7df6-4345-bbef-97638a1fd137,movie terrible plot unbelievable acting asking money back,negative,1
e7bececd-4be6-49fc-bb00-f97bc58131e6,venue dump dirty smelly staff unhelpful,negative,1
c3f68451-a794-443e-9ec4-d1a507f4b034,disappointing event promised entertainment nowhere seen,negative,1
cb8a9bf3-d18f-47c9-9468-32de092d8c8e,fell asleep movie bad,negative,1
efae5545-f2a2-4e0b-9204-127877141c1f,venue overcrowded uncomfortable couldnt even enjoy event,negative,1
7e486bd6-bb06-4c68-9dc0-928880541667,event chaotic mess thing werent organized staff clueless,negative,1
1c99ac8d-ef52-4a7d-bf08-fb6d4ab77d3e,movie slow boring almost walked,negative,1
0ea2c42f-710d-4206-8856-4f1eff8a64f9,venue small cramped unbearable couldnt breathe,negative,1
61f37916-7332-4938-a467-9a562ed05044,event complete ripoff furious,negative,1
7bf916eb-ed19-482b-93af-642665798ac5,movie predictable cliché ive seen better,negative,1
99580eed-82ec-46e3-8dc1-faba1706087b,venue poorly maintained unclean disgusted,negative,1
2ee78e13-890a-4bb8-955d-063d016d86aa,event disorganized lacked real entertainment value,negative,1
a2b8dacc-3ff5-4359-8fca-05ad2a3315cd,movie awful dont even know begin,negative,1
86c4479e-b941-46f8-8a8c-86056e068935,venue noisy distracting couldnt focus event,negative,1
f433181c-2193-4d46-a23e-565b4588194e,event complete failure regret attending,negative,1
a7d37b28-7343-47ae-bd04-16ba5fad1c41,movie confusing poorly written lost entire time,negative,1
23718661-dedd-4cf2-abd6-bdc51c552eec,venue far expensive offered felt cheated,negative,1
199867cd-e53f-43c2-be0e-8a55f21808e1,event poorly executed lacked creativity,negative,1
5f3c7c68-ebd1-4cdc-a5cd-975593295e67,movie complete waste time money dont bother,negative,1
f7ed56ec-c354-462f-9176-d1b3a878554f,venue uncomfortable lacked basic amenity miserable,negative,1
beee1c4c-7d48-407e-8054-d1e2f837c99c,event underwhelming disappointing expected much,negative,1
2c0af5a6-a5c7-458f-af43-05f6a8250290,movie boring lacked substance disappointed,negative,1
5ab24af5-e801-40db-8791-c4e13908aeb2,venue dirty smelled awful couldnt even stay whole event,negative,1
a0bf5ac0-4073-4a3c-bd6f-2b15ec0f2c95,event poorly managed lacked sense professionalism,negative,1
afb8e684-9966-412b-8944-364c58e05478,movie mess plot place,negative,1
ad2a4801-1fe7-44d6-adea-18a89586e065,venue difficult get poorly signposted almost missed event,negative,1
f232954a-b356-48ce-9fc0-7a19d420260b,event huge letdown angry,negative,1
fb669215-5ea9-4a36-b222-ffdd8ebe53a6,movie predictable insulting mad,negative,1
b21814f2-90d5-4f10-95c1-6da0e1c49e40,venue overpriced understaffed chaos,negative,1
0bc53a38-4809-4dd6-883e-42ee0c6a1e90,event complete waste evening frustrated,negative,1
266a555e-737a-4b17-afa5-107c2c1a8db4,movie plain bad cant believe paid see,negative,1
cfdf2dbc-c5cf-483d-b24b-d41ddaa7348a,venue cramped uncomfortable making event unpleasant,negative,1
86da69d7-b26e-4e0e-a672-696cf68a901f,event poorly advertised didnt live hype,negative,1
d8a4ccd8-4402-4bc1-83ab-f902c3ec4326,movie complete disappointment upset,negative,1
a6a15139-7b0f-48f0-94bd-c349d04d7530,venue fire hazard seriously dangerous,negative,1
715a762e-d22f-4c56-97b3-c31a4b62f582,event total disaster ill never back,negative,1
4c625240-bb94-4567-87e5-1ed4ed5a6250,movie slow boring terrible acting,negative,1
3eed832f-f1ee-487d-9870-f8c0ca1f7f09,venue small dirty sound terrible,negative,1
19eafe9c-d366-4504-a53d-ea324860aaa6,event poorly organized lacked clear direction,negative,1
3bdab8e7-bf95-455b-a9a5-bf3871105f7a,movie confusing lacked coherent plot,negative,1
e6b2f078-e810-426b-afe6-154b144b25f5,venue uncomfortable lacked adequate seating,negative,1
bca69535-5887-4141-8951-b6fc3146e499,event complete waste time money avoid,negative,1
59f5feda-8423-4c5a-80c7-8e6dc8965760,movie predictable lacked originality,negative,1
243888e8-f2af-41e0-a5a0-a09593896cfd,venue difficult access lacked proper parking,negative,1
661892a9-e9e0-474a-92e6-9e836ab18030,event disaster performer unprofessional,negative,1
a3b91698-aad7-41da-be18-983ad130d20a,movie terrible regret watching,negative,1
f62a29da-7586-4767-9d3a-7b401bc1e18a,venue rundown desperate need repair,negative,1
9b0d3adb-69ea-4c6b-8590-039b94c02381,event complete letdown disappointed,negative,1
fc843cf5-b656-4a38-83aa-c4b1356bf496,movie boring predictable terrible dialogue,negative,1
cdd36a7c-2f22-4563-bc2d-98627c6dafab,venue overcrowded chaotic nightmare,negative,1
795b3522-a2ab-4a2c-b4bf-651bb4b82242,event poorly managed lacked customer service,negative,1
1e544672-f08c-4692-ac73-a592019e6eb1,movie complete mess couldnt follow plot,negative,1
119a52bb-03b6-4e50-96e2-e7fdc20221a8,venue uncomfortable temperature unbearable,negative,1
92ec0762-05c5-45ee-a05c-5bd5ba4871f7,event waste time money angry,negative,1
44b5a265-f886-48f8-ad8d-492be7785145,movie bad walked halfway,negative,1
fe5e4eba-0f0c-4caf-8d5e-8a546b5bc1f3,venue poorly lit difficult navigate,negative,1
db964623-db5c-4258-9077-b3bb42294f27,event complete failure frustrated,negative,1
d22a4b0a-524a-4d03-833b-d5a8a234317d,movie unoriginal lacked creativity,negative,1
7ce31224-13d3-4b7b-8273-1c18747583af,venue dirty lacked basic hygiene standard,negative,1
aa873c26-09df-4bf4-8429-ce214b686b85,event total disappointment upset,negative,1
2763d17d-430b-4705-94fa-2cc94127a1be,movie complete waste time dont bother watching,negative,1
5d6aba26-394f-4a54-94cb-bc7a62783b7f,venue expensive didnt offer anything special,negative,1
cb6f130e-3ce2-44fc-9045-969b3183b66e,event poorly organized chaotic mess,negative,1
0e5a3661-a649-4121-a610-e2ed5813d72e,movie boring redeeming quality,negative,1
ffd511c2-e3ce-46a1-8655-55f6b0d465be,venue inaccessible disability,negative,1
072210c1-edc4-4847-b203-dc6128d74a9c,event complete ripoff demanding refund,negative,1
5e327fd0-f98a-4ac0-834b-aa3d553b7c59,movie slowpaced lacked excitement,negative,1
55fb3417-d2bb-4734-8636-ed874630a1a5,venue uncomfortable lacked proper ventilation,negative,1
08f5ef0d-a1d8-48c5-98fa-85052e7c98e5,event total disaster disappointed,negative,1
5788c94d-cef5-4b64-a8f4-f41b484bce0b,movie confusing poorly edited,negative,1
eb163eb4-d800-4c5d-ace9-00ca9590426c,venue noisy disruptive ruining event,negative,1
eb1bfac5-253d-44af-aca6-00e1f83a709a,event complete waste time money,negative,1
b0c7282d-820c-4870-afe1-5d5d9ec83927,movie predictable lacked suspense,negative,1
da1c00b5-a13c-4908-a19c-73b621e3b1d9,venue poorly maintained need renovation,negative,1
04d38ec1-0a4e-4242-9ce0-63ca90250ecc,event total letdown angry,negative,1
cae39188-d8b5-4ba1-b22d-d24bae4bb7aa,movie boring terrible special effect,negative,1
be45b19d-6e2b-449f-88e8-af6b32566eb3,venue difficult find poorly advertised,negative,1
225bd0b3-a30e-4a3d-ab29-04103cf4e9a5,event complete failure regret going,negative,1
dcb6fa51-963f-460d-9e26-e37051e950d3,movie uninspired lacked originality,negative,1
ba9c9b3d-afd9-44eb-bc85-bd50bc96111a,venue uncomfortable lacked basic amenity,negative,1
fd2b9854-928b-4484-a70a-733e73d5d84a,event complete disappointment frustrated,negative,1
d51ae7aa-9ac3-4926-9ffc-3974b20ce03e,movie complete waste time money,negative,1
9dd880c0-a8c4-4abc-9bec-ec90400308a9,venue overpriced understaffed disaster,negative,1
1a3998e4-218e-45fb-8f54-bc6ac46bd31d,event poorly organized lacked entertainment value,negative,1
5ab937bb-e5fd-4b77-b48d-b3a33292cc2c,movie boring terrible acting,negative,1
a7239ebc-0336-4856-b106-3a32496a5d33,venue dirty smelled bad,negative,1
f5b2d376-b024-4358-a96a-2c29c63b2fa1,event complete letdown upset,negative,1
e6986dea-c90f-41dc-ae12-689a6c12c54d,movie confusing difficult follow,negative,1
e59a0bab-19c8-44b9-9200-8ee33d56f7ee,venue inaccessible difficult navigate,negative,1
85397d8e-5c09-4283-b7e2-8cbba67e8860,event total waste time,negative,1
e8eab16e-0988-48f9-97e4-85988dff2742,movie unoriginal predictable,negative,1
bf99313e-c2d6-4575-9fbb-4aceca44498b,venue uncomfortable lacked proper seating,negative,1
a1dde672-64e5-45d3-b95a-4cd34cd146fa,event complete disappointment angry,negative,1
2ff1bec9-0b9d-43f2-b48c-8ea89775dc19,movie boring terrible plot,negative,1
6b097f85-5311-47d6-b2bd-d68c49726d48,venue poorly maintained disrepair,negative,1
6b425a2e-76e5-4cb2-8194-7dc47e2cb079,movie waste time money,negative,1
60a55317-ed5b-42de-8bf5-665d470b901f,venue overcrowded uncomfortable,negative,1
efe8373a-1ca9-4cf7-a472-7ae35f7ee217,event total letdown disappointed,negative,1
c46a89ce-9551-47dc-b213-ad30c6146823,product garbage broke week disappointed,negative,1
34682035-1e21-4cf3-904d-56b776683fba,movie complete waste time plot nonsensical acting awful,negative,1
704dea8b-cbb1-483c-a84a-9c1464954203,terrible event poorly organized overpriced performer terrible,negative,1
44cb5ca6-2655-4625-aae5-816bd11a0b85,venue dump dirty smelly staff incredibly rude,negative,1
ccdb42e5-4b6f-4a47-b408-cf3d272492e9,hate product doesnt work advertised customer service terrible,negative,1
3b584dbb-55a0-4322-bd5c-52e1fb6d6735,movie boring predictable could stayed home watched paint dry,negative,1
df1b6431-fd75-4e43-a524-f1752748246d,event complete letdown left feeling ripped angry,negative,1
ea6f6807-4d22-4837-bb82-05a18a4ebfaf,product cheaply made fell apart immediately dont waste money,negative,1
2de8d300-31d8-49a6-bf01-211750418b03,movie slow boring almost fell asleep total waste time,negative,1
1e1646fb-ef06-42cc-a283-b2c3b7a59d2d,event disorganized mess one knew going,negative,1
7f19842e-fed5-4d29-ad34-b9eccd585d7d,venue dirty smelled awful couldnt wait leave,negative,1
3d858b73-9651-4fdd-a7de-0e911a3d5922,product scam doesnt work want money back,negative,1
03923c69-a701-4e9a-829e-ac51c0f21dc5,movie terrible special effect nonsensical plot furious,negative,1
101080e8-9cc4-4e92-bc47-82d8648826c0,event poorly advertised even worse reality complete waste time,negative,1
1ae76068-0374-49e1-8457-1c82faa9063d,product defective stuck useless piece junk,negative,1
e24976fc-193d-4196-8d8b-0279b62603a3,venue noisy distracting couldnt focus anything,negative,1
ef1ab37c-f481-4b10-80f2-fff795379288,product stopped working us disappointing,negative,1
47449a61-da5a-43cd-be03-a4dc39b2c0ac,product complete ripoff quality terrible,negative,1
5f3a3cb0-0617-4457-8680-8c2804e8c9d4,product doesnt work described false advertising,negative,1
d93a1528-b179-44eb-8cba-0bd320b8845d,venue difficult get poorly signposted almost missed,negative,1
