id,source,date,feedback_text,rating,sentiment_label,review,model,sentiment
e3cfe547-a543-42d0-a30e-ca2012ecb1c8,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The movie was a complete snoozefest.  I regretted every second.  Total waste of money.,1,negative,The movie was a complete snoozefest.  I regretted every second.  Total waste of money.,Gemini-1.5-Flash,negative
cb19c62e-ec2b-4892-87f1-01935ccfd242,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"Seriously, the worst venue I've ever been to.  The sound was terrible, the seats uncomfortable, and the staff rude.",1,negative,"Seriously, the worst venue I've ever been to.  The sound was terrible, the seats uncomfortable, and the staff rude.",Gemini-1.5-Flash,negative
c8deabb9-621b-4c89-8130-9ef81671cb7f,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"This event was so poorly organized, it was a joke.  I left early, feeling ripped off.",1,negative,"This event was so poorly organized, it was a joke.  I left early, feeling ripped off.",Gemini-1.5-Flash,negative
bf89e91c-81f8-4216-b9b4-fee042a51248,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"What a disaster of a movie!  The acting was awful, the plot was nonsensical, and the special effects were cheesy.",1,negative,"What a disaster of a movie!  The acting was awful, the plot was nonsensical, and the special effects were cheesy.",Gemini-1.5-Flash,negative
a908f5d2-88a6-42b3-b681-1a5905ef323d,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"I wouldn't recommend this venue to my worst enemy.  It was dirty, cramped, and overpriced.",1,negative,"I wouldn't recommend this venue to my worst enemy.  It was dirty, cramped, and overpriced.",Gemini-1.5-Flash,negative
364aeb37-4789-462d-adb0-bc5e2bcc3bb6,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,"The event was a complete letdown.  The performers were underwhelming, and the whole thing felt rushed.",1,negative,"The event was a complete letdown.  The performers were underwhelming, and the whole thing felt rushed.",Gemini-1.5-Flash,negative
9c291d53-b728-4cbd-af5b-2597a6a7255b,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This movie was boring and predictable. I could have stayed home and watched paint dry.,1,negative,This movie was boring and predictable. I could have stayed home and watched paint dry.,Gemini-1.5-Flash,negative
80ec2bf3-ca88-461c-bf03-03dce333b358,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The sound system at the venue was atrocious. I couldn't hear anything properly.,1,negative,The sound system at the venue was atrocious. I couldn't hear anything properly.,Gemini-1.5-Flash,negative
a77f6876-c820-4cf7-9afc-f2566cc56b2e,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,The event was poorly advertised and even worse in reality.  A total waste of time.,1,negative,The event was poorly advertised and even worse in reality.  A total waste of time.,Gemini-1.5-Flash,negative
4b5b665c-7df6-4345-bbef-97638a1fd137,Gemini-1.5-Flash,2025-10-30T07:49:56.393743+00:00,This movie had a terrible plot and unbelievable acting. I'm asking for my money back.,1,negative,This movie had a terrible plot and unbelievable acting. I'm asking for my money back.,Gemini-1.5-Flash,negative
